dataset_key,dataset_label,seed,higher_better,display_unit,SiGMA_metric_display,SiGMA_metric_raw,SiGMA_wandb_run_id,MP_only_metric_display,MP_only_metric_raw,MP_only_wandb_run_id,Attn_only_metric_display,Attn_only_metric_raw,Attn_only_wandb_run_id,SiGMA_attn_gate_metric_display,SiGMA_attn_gate_metric_raw,SiGMA_attn_gate_wandb_run_id,SiGMA_ungated_attn_metric_display,SiGMA_ungated_attn_metric_raw,SiGMA_ungated_attn_wandb_run_id,SiGMA_ungated_metric_display,SiGMA_ungated_metric_raw,SiGMA_ungated_wandb_run_id
cifar10,CIFAR10,0,True,accuracy_pct,79.45,0.7945,skdtqk7t,75.51,0.7551,ox741d2i,59.550000000000004,0.5955,vb1y7vdj,79.7,0.797,f8cb6ayp,79.69000000000001,0.7969,6z32lydj,79.84,0.7984,681w5f5y
cifar10,CIFAR10,1,True,accuracy_pct,79.78,0.7978,3tx560wq,75.47,0.7547,kp72jdvf,60.760000000000005,0.6076,nc57cgot,80.02,0.8002,849ao8un,79.23,0.7923,fxc1uyku,80.53,0.8053,h3mc4uer
cifar10,CIFAR10,2,True,accuracy_pct,79.62,0.7962,hep56q27,75.64,0.7564,6ogmrzb0,62.019999999999996,0.6202,581apgkl,79.13,0.7913,2lc9a4s3,79.80000000000001,0.798,90s6romu,80.31,0.8031,fkbv8fe0
cifar10,CIFAR10,3,True,accuracy_pct,79.33,0.7933,7wm0gq2c,75.44,0.7544,wqpfwv1e,61.550000000000004,0.6155,g81wcowv,79.31,0.7931,ozol9yji,79.9,0.799,hop2iind,79.9,0.799,zwf8wtxa
cifar10,CIFAR10,4,True,accuracy_pct,79.46,0.7946,61g0yg8m,76.33,0.7633,iu9x5z9a,61.550000000000004,0.6155,2v5s19vm,79.44,0.7944,clzp0erw,80.15,0.8015,xqjh7at1,80.11,0.8011,1mae111v
cluster,CLUSTER,0,True,accuracy_pct,78.973,0.78973,qdkezojh,78.869,0.78869,os7w4lea,31.485999999999997,0.31486,91vsbpqh,79.122,0.79122,uxnfcthw,,,,78.896,0.78896,ih9mj2lg
cluster,CLUSTER,1,True,accuracy_pct,78.84299999999999,0.78843,8bx9c5m2,79.267,0.79267,2kyolakt,31.546000000000003,0.31546,3qb3ifjc,78.842,0.78842,d1imixhg,,,,79.026,0.79026,yypjk58f
cluster,CLUSTER,2,True,accuracy_pct,79.092,0.79092,f6k8rjip,79.187,0.79187,d71j36ww,31.537,0.31537,2lw1oybn,78.739,0.78739,ximcx1ff,,,,79.221,0.79221,llk4gpdt
cluster,CLUSTER,3,True,accuracy_pct,79.03099999999999,0.79031,vkno6rq8,79.121,0.79121,gbiolnk6,31.567,0.31567,nj9v1wa5,79.11399999999999,0.79114,24yshcey,,,,79.101,0.79101,3afk3j5g
cluster,CLUSTER,4,True,accuracy_pct,78.84299999999999,0.78843,6ipfj6sf,78.993,0.78993,jfnj8msx,31.625999999999998,0.31626,jg25y5zn,78.818,0.78818,lb148qsx,,,,79.071,0.79071,sbnyrh2t
